label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11	col_12
1	1060 m/(s^2)	0.6955	Biotechnology	computer game design	vani	1.1686	1106	0.7217	451	fabrice	0.7664 N	MODESTO, OAKLAND, SAN JOSE	0.7883
4	487 m/(s^2)	0.2151	Computer Game Design	Natural Language Processing	Reilly	0.7175	1278	1.3385	1229	Reilly	1.1492 N	Anaheim, Moreno Valley, Los Angeles, Sacramento	1.2599
4	140 m/(s^2)	-0.3946	Games and Playable Media	Natural Language Processing	Andrew	1.3295	696	0.8985	986	Vani	0.8416 N	Santa Clarita, Sacramento, Anaheim, Moreno Valley	0.5142
1	514 m/(s^2)	0.7828	Biotechnology	Computer Game Design	Vani	1.3003	814	1.1031	-336	iNAN	0.8783 N	Chula Vista, Fremont	1.4276
0	?	0.7482	Electrical Engineering	Robotics Engineering	Andrew	1.0467	310	1.2169	1077	Inan	0.5078 N	Stockton	0.2496
2	851 m/(s^2)	1.0451	Applied Mathematics	Data Science	Fabrice	1.0479	946	1.3246	None	Andrew	1.0119 N	Irvine	1.2282
4	580 m/(s^2)	0.199	Games and Playable Media	Computer Engineering	Reilly	1.05	1090	1.6525	854	Michael	1.28 N	Long Beach	0.9235
2	1043 m/(s^2)	0.8646	Applied Mathematics	Computer Science	Tony	0.99	941	1.5856	1431	Andrew	1.1317 N	Long Beach	0.8164
5	913 m/(s^2)	1.7002	Robotics Engineering	Human Computer Interaction, Technology and Information Management, Applied Mathematics, Electrical Engineering	Inan	0.3034	465	0.5889	1672	Lise	0.6258 N	Fremont, Fresno	0.6897
4	627 m/(s^2)	0.0745	Statistics	Natural Language Processing	Reilly	1.0569	1051	0.715	661	Vani	0.8037 N	Moreno Valley, Los Angeles, Anaheim, Santa Clarita	0.6462
0	753 m/(s^2)	1.3739	Electrical Engineering	Robotics Engineering	Andrew	1.1582	48	1.0319	651	Inan	1.0993 N	Santa Ana	0.0572
1	781 m/(s^2)	1.0284	Human Computer Interaction	Statistics	Chris	0.8472	943	1.2092	261	Michael	0.7411 N	San Bernardino, Oakland, San Jose	0.4239
5	1127 m/(s^2)	1.3974	Data Science	Games and Playable Media	Inan	0.0846	47	0.3095	684	Lise	0.1177 N	Fremont	1.1382
5	1041 m/(s^2)	0.8579	Data Science	Technology and Information Management, Applied Mathematics	Inan	0.8029	669	0.7029	1590	Lise	0.037 N	Fremont	0.6925
5	1338 m/(s^2)	1.2406	Computational Media	Games and Playable Media, Human Computer Interaction, Technology and Information Management, Bioengineering, Applied Mathematics	Sam	0.3782	357	0.5782	1007	Lise	0.2955 N	Chula Vista, Fremont	0.4326
0	1018 m/(s^2)	1.3311	Electrical Engineering	Biotechnology	Michael	1.2055	-123	0.7951	319	Sam	1.0817 N	Stockton, Santa Ana	0.7932
4	196 m/(s^2)	-0.3947	Human Computer Interaction	Natural Language Processing	Reilly	1.4615	878	0.892	682	Vani	1.0474 N	Anaheim, Los Angeles, Moreno Valley, Sacramento	1.0796
5	934 m/(s^2)	n/a	Technology and Information Management	Applied Mathematics, Technology and Information Management	tony	0.5021	511	0.7457	465	Lise	0.3969 N	Fresno, Fremont	1.0831
3	105 m/(s^2)	0.5034	Computer Science	Bioinformatics	Chris	0.7791	11	1.1969	1198	SAM	0.7477 N	Bakersfield	0.3043
3	445 m/(s^2)	n/a	Computer Engineering	Biotechnology	Chris	1.293	231	1.0169	810	Andrew	0.7454 N	San Diego, Bakersfield	0.8238
2	1181 m/(s^2)	0.8264	Applied Mathematics	Data Science	Fabrice	1.4473	466	1.8778	811	Andrew	0.8346 N	Long Beach	0.9723
2	998 m/(s^2)	0.9934	Applied Mathematics	Data Science	Eriq	0.8767	379	0.3834	845	Andrew	0.4043 N	Irvine	1.3148
4	1031 m/(s^2)	0.3049	COMPUTER GAME DESIGN	Computer Engineering	Reilly	0.9936	790	1.1981	920	Vani	1.3019 N	Sacramento	1.212
5	587 m/(s^2)	0.3173	Robotics Engineering	Bioengineering	Sam	0.3311	813	0.3584	1551	Lise	0.433 N	fremont, fresno	0.9866
4	547 m/(s^2)	0.327	Computational Media	Natural Language Processing	Lise	1.0914	954	1.1667	698	Vani	0.9857 N	Moreno Valley, Anaheim	0.2672
0	635 m/(s^2)	0.442	Electrical Engineering	Games and Playable Media, Human Computer Interaction	Michael	1.1708	584	1.3686	477	Inan	0.9017 N	Stockton	0.4047
3	211 m/(s^2)	0.1521	Computer Science	Bioinformatics	Chris	1.1208	75	0.4862	858	Tony	0.3547 N	San Diego	1.081
1	723 m/(s^2)	0.3893	Human Computer Interaction	Computer Game Design	Vani	1.3134	879	0.4939	107	Andrew	0.7862 N	Oakland	0.1705
5	890 m/(s^2)	1.0787	Electrical Engineering	Electrical Engineering, Bioengineering, Human Computer Interaction	Tony	0.4252	715	0.2359	870	Lise	0.5832 N	Fresno, Chula Vista	0.7363
0	805 m/(s^2)	0.8379	Electrical Engineering	Computational Media	Michael	1.0741	246	1.0267	1049	Sam	0.8492 N	Santa Ana	0.2812
3	211 m/(s^2)	0.3047	Statistics	N/A	Chris	1.6959	-123	1.1045	434	Fabrice	0.8845 N	Bakersfield, San Francisco	0.767
5	848 m/(s^2)	1.0533	Data Science	Human Computer Interaction, Applied Mathematics, Electrical Engineering, Bioengineering	Sam	0.5486	144	0.4286	960	Lise	0.4197 N	Fremont	0.6168
5	1153 m/(s^2)	1.0129	Technology and Information Management	Electrical Engineering, Human Computer Interaction, Bioengineering, Applied Mathematics, Technology and Information Management	Sam	1.0012	602	0.4726	1301	Lise	0.4458 N	Chula Vista	0.6393
0	799 m/(s^2)	1.248	Statistics	Robotics Engineering	Reilly	0.6107	105	1.2001	879	Sam	0.4423 N	Riverside	0.3518
